DP02_0064PE,DP02_0061PE,DP02_0065PE,DP02_0062PE,DP02_0063PE,DP02_0060PE,DP02_0059PE,DP05_0077PE,DP05_0078PE,DP05_0080PE,state,zip_code
24.5,21.3,10.0,34.6,5.8,2.5,1.3,93.3,0.0,0.2,16,83638
16.8,35.9,7.5,17.6,10.9,6.3,5.0,89.7,2.4,2.7,23,04005
11.1,41.4,2.5,21.1,10.6,7.5,5.8,86.8,0.2,0.2,27,55336
5.5,25.4,1.9,19.8,5.3,17.6,24.5,19.0,7.9,3.6,04,85019
23.3,28.5,13.2,20.9,8.0,4.4,1.6,71.0,15.2,4.5,42,19090
24.6,21.0,17.5,22.8,10.5,2.8,0.9,89.9,3.1,2.0,39,43537
15.3,28.8,7.1,25.3,14.9,6.4,2.3,95.9,0.5,0.5,31,68756
18.2,30.3,12.1,25.0,9.6,4.3,0.5,93.3,0.9,0.6,55,53120
9.2,32.1,8.7,21.7,4.5,10.7,13.1,60.0,2.1,0.0,13,30543
19.7,29.4,5.5,22.6,10.5,7.1,5.2,55.2,24.6,7.8,27,55428
9.3,37.0,4.3,23.3,14.1,7.8,4.1,95.1,0.9,0.8,17,62837
10.2,40.1,5.3,21.3,5.9,10.8,6.4,53.9,42.5,0.6,13,30467
10.2,32.8,6.0,22.8,10.4,10.7,7.1,85.6,5.7,0.5,37,28777
28.6,20.8,19.9,17.9,7.7,3.0,2.1,80.0,2.2,2.8,12,33308
9.6,28.2,2.1,17.8,13.9,14.0,14.3,27.3,71.8,0.0,28,38737
15.4,31.0,6.9,27.0,14.1,4.6,1.1,89.2,2.3,0.0,33,03280
11.0,41.2,5.4,24.6,7.8,7.0,2.9,93.6,1.3,0.4,29,65706
4.9,47.5,3.3,16.2,9.3,11.1,7.7,96.1,0.6,0.9,39,45612
5.4,41.8,6.5,20.9,10.5,9.7,5.1,83.2,12.1,0.7,47,38023
8.1,22.1,1.0,29.7,10.9,15.7,12.5,47.3,23.5,0.4,48,75706
19.7,35.3,8.4,21.1,9.3,4.8,1.4,90.1,0.8,1.9,25,01540
15.4,28.6,6.2,29.9,9.7,8.6,1.5,91.0,0.4,1.0,53,99403
5.3,23.9,12.8,39.9,0.0,18.1,0.0,66.1,0.0,7.3,56,82943
18.3,33.9,11.8,24.8,6.0,5.2,0.0,92.8,0.0,0.3,41,97707
42.8,7.7,25.2,17.8,4.2,1.5,0.9,74.3,3.1,7.1,06,90068
9.1,34.2,7.6,30.0,4.8,9.3,5.0,13.3,0.3,10.5,02,99723
13.0,43.0,6.5,16.5,6.7,8.7,5.7,85.9,11.5,0.0,05,72024
14.4,38.5,7.3,21.9,9.2,5.5,3.3,93.2,0.4,0.7,55,53566
25.8,22.2,16.4,20.0,5.8,6.1,3.6,66.7,5.6,14.4,34,08002
9.0,40.3,5.3,22.4,10.3,8.8,3.9,82.7,12.6,0.4,21,40258
30.5,15.7,25.9,16.5,8.2,1.9,1.3,87.6,1.3,3.5,26,48176
25.2,19.6,16.2,25.3,9.5,2.7,1.4,64.3,4.6,14.4,32,89052
16.6,25.4,7.1,25.9,7.5,8.5,9.0,18.6,11.0,9.5,06,92336
35.3,14.7,16.3,18.6,7.6,3.6,3.9,65.4,5.7,4.7,08,80246
23.4,20.2,10.8,28.7,11.5,4.2,1.2,84.9,0.3,2.3,49,84094
0.0,15.2,11.4,34.3,7.6,18.1,13.3,92.4,0.0,0.0,53,98255
26.0,25.3,9.2,21.7,7.2,3.2,7.5,78.7,0.7,0.0,48,75058
11.3,50.1,4.6,3.7,13.5,13.3,3.4,43.8,56.2,0.0,28,39149
17.1,39.2,4.2,19.1,14.0,3.0,3.3,94.4,0.6,0.0,46,57014
24.7,28.7,16.4,14.3,9.0,4.5,2.3,73.4,4.1,6.7,42,18104
29.7,4.9,52.5,8.1,2.2,1.2,1.4,72.7,2.0,16.3,51,22101
16.6,28.7,6.6,27.7,9.4,3.6,7.4,34.0,37.8,1.6,48,77702
19.7,32.7,5.0,20.3,16.6,4.3,1.4,93.8,0.5,0.0,19,51035
5.1,26.0,8.7,37.5,10.9,8.9,2.9,96.5,1.6,0.0,29,63072
14.5,32.7,6.0,25.7,9.7,8.6,2.8,63.5,27.8,1.7,17,61604
15.7,35.4,11.8,15.8,8.3,8.8,4.2,65.0,11.9,1.8,42,17403
13.7,30.3,6.2,22.4,16.7,6.7,4.0,94.6,1.0,1.3,17,62863
10.6,34.9,6.8,12.7,4.7,9.5,20.7,22.0,5.8,3.4,25,02150
13.4,42.2,4.8,21.6,9.2,7.1,1.7,88.5,2.4,0.7,36,13673
12.0,34.7,10.1,27.1,10.5,4.1,1.5,90.1,0.0,1.0,17,60097
19.5,32.7,8.6,21.3,11.6,3.2,3.0,68.6,17.2,3.4,34,08065
27.8,17.4,21.7,20.5,4.9,3.5,4.3,80.8,3.8,3.1,05,72703
10.3,35.1,6.1,20.2,10.3,13.7,4.4,62.3,24.0,1.2,10,19973
6.9,38.9,1.9,22.2,7.7,16.6,5.9,71.7,20.1,0.3,12,32054
12.3,33.1,5.9,30.3,10.0,6.1,2.2,79.5,0.8,1.5,02,99654
11.0,28.8,7.5,23.4,11.0,13.7,4.6,77.8,10.3,0.9,39,45410
18.0,23.8,13.7,27.8,9.7,4.6,2.5,86.9,1.9,3.2,37,28584
24.4,25.5,18.0,16.7,10.5,2.2,2.7,87.7,0.3,2.3,36,11793
23.7,17.3,22.0,16.0,6.7,6.1,8.2,30.8,25.6,15.0,51,22312
14.3,29.7,10.3,27.0,8.8,6.4,3.6,81.6,6.8,0.9,26,49090
25.1,24.2,16.3,16.9,11.8,3.7,2.0,90.7,1.1,2.2,25,01923
10.5,46.5,3.8,17.8,8.9,9.5,3.0,91.2,2.2,1.0,42,18651
